EIN,fips,CENSUS_STATE_NAME,CENSUS_COUNTY_NAME,icma_picked_level,icma_picked_local_gov,UREGN,region,DONATIONS,GOVGRANTS,PROGRAMREVENUE,ln_donations,ln_govgrants,ln_progrev,imgrnt_support,econ_support,enforce,enforce_binary,npoprovider,npoprovider_c,EMPLOYEE,TOTALASSETS,ln_employee,ln_assets,total_pop,pct_foreign_born,median_income,pct_college,pct_poverty,dem_vote_share,ln_pop_z,pct_foreign_born_z,ses_index,dem_share_z
431994062,1003,Alabama,Baldwin County,City,Daphne,3,3,20973.0,0.0,0,9.951038854394351,0.0,0.0,0.0,0.0,9.0,1,0.0,-3.6146076146076145,0,107708.0,0.0,11.587179140794367,208107,3.45,55962.0,31.35,10.57,19.57,-1.6852664482827682,-1.6066990003648485,-0.3933719822058936,-3.3974351441991004
273800363,1073,Alabama,Jefferson County,County,Jefferson,3,3,163030.0,0.0,0,12.001695645755284,0.0,0.0,3.0,0.0,6.0,1,0.0,-3.6146076146076145,0,617108.0,0.0,13.33279932808836,659892,4.03,51979.0,32.42,17.0,52.25,-0.6226947385386926,-1.5533909978256562,-0.9335057316309184,-0.7033456442646908
465635459,1073,Alabama,Jefferson County,County,Jefferson,3,3,547197.0,0.0,800,13.212565990313038,0.0,6.68586094706836,3.0,0.0,6.0,1,0.0,-3.6146076146076145,7,171154.0,2.0794415416798357,12.05031901499694,659892,4.03,51979.0,32.42,17.0,52.25,-0.6226947385386926,-1.5533909978256562,-0.9335057316309184,-0.7033456442646908
260881979,1073,Alabama,Jefferson County,County,Jefferson,3,3,437181.0,0.0,0,12.98810486334822,0.0,0.0,3.0,0.0,6.0,1,0.0,-3.6146076146076145,0,45671.0,0.0,10.729218802151282,659892,4.03,51979.0,32.42,17.0,52.25,-0.6226947385386926,-1.5533909978256562,-0.9335057316309184,-0.7033456442646908
474352872,1073,Alabama,Jefferson County,County,Jefferson,3,3,3220.0,637055.0,0,8.0774471493312,13.364612842778172,0.0,3.0,0.0,6.0,1,0.0,-3.6146076146076145,5,412502.0,1.791759469228055,12.929996333229967,659892,4.03,51979.0,32.42,17.0,52.25,-0.6226947385386926,-1.5533909978256562,-0.9335057316309184,-0.7033456442646908
272292176,1097,Alabama,Mobile County,County,Mobile,3,3,110900.0,0.0,0,11.616393190430356,0.0,0.0,0.0,0.0,8.0,1,0.0,-3.6146076146076145,0,699301.0,0.0,13.457836543692366,414659,3.28,46166.0,22.94,19.28,41.88,-1.050495436133859,-1.6223237597297837,-1.5460349845535213,-1.5582326734666438
630920403,1109,Alabama,Pike County,City,Troy,3,3,164355.0,0.0,0,12.00979008587959,0.0,0.0,0.0,0.0,9.0,1,5.0,1.3853923853923855,0,1191557.0,0.0,13.990771413235274,33403,4.3,34678.0,23.55,26.59,38.69,-3.36968107526287,-1.5285752035401703,-2.306047409406334,-1.8212114220832527
562533062,2020,Alaska,Anchorage Municipality,Municipality,Anchorage,4,4,383463.0,701691.0,366937,12.857001023153709,13.46124984029182,12.812948175435489,6.0,4.0,0.0,0,5.0,1.3853923853923855,14,979979.0,2.70805020110221,13.79528642184573,296112,10.69,83280.0,35.27,9.17,37.72,-1.3605304553385464,-0.941268072117004,0.343047943099606,-1.9011767468977072
815212747,4005,Arizona,Coconino County,County,Coconino,4,4,206392.0,0.0,0,12.237537397285744,0.0,0.0,5.0,0.0,9.0,1,4.0,0.3853923853923855,2,68601.0,1.0986122886681098,11.136062390867204,140217,4.84,57616.0,35.62,18.93,56.33,-2.048835209694428,-1.4789436149691986,-0.8731307864618318,-0.3669966491688405
371525253,4013,Arizona,Maricopa County,City,Scottsdale,4,4,3081.0,539538.0,0,8.033334015880062,13.198470350224218,0.0,2.0,0.0,0.0,0,5.0,1.3853923853923855,13,77488.0,2.6390573296152584,11.25787836464301,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
742638530,4013,Arizona,Maricopa County,City,Scottsdale,4,4,50843.0,0.0,86643,10.83651740041456,0.0,11.369563048660869,2.0,0.0,0.0,0,5.0,1.3853923853923855,1,236418.0,0.6931471805599453,12.373356703747396,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
800038343,4013,Arizona,Maricopa County,City,Scottsdale,4,4,405331.0,37246.0,0,12.912461763361046,10.525326683651684,0.0,2.0,0.0,0.0,0,5.0,1.3853923853923855,8,159485.0,2.1972245773362196,11.979705152897486,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
860445372,4013,Arizona,Maricopa County,City,Scottsdale,4,4,470630.0,0.0,424687,13.061829626459012,0.0,12.959110060663184,2.0,0.0,0.0,0,5.0,1.3853923853923855,0,921186.0,0.0,13.733417249244797,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
204592050,4013,Arizona,Maricopa County,City,Scottsdale,4,4,315716.0,0.0,0,12.662601521686732,0.0,0.0,2.0,0.0,0.0,0,5.0,1.3853923853923855,0,70607.0,0.0,11.164884568707926,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
201978899,4013,Arizona,Maricopa County,City,Scottsdale,4,4,175426.0,0.0,400124,12.074978280939067,0.0,12.899532277272163,2.0,0.0,0.0,0,5.0,1.3853923853923855,39,590765.0,3.688879454113936,13.28917358617834,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
860629604,4013,Arizona,Maricopa County,City,Scottsdale,4,4,9725.0,0.0,17970,9.182557990963732,0.0,9.796514626532025,2.0,0.0,0.0,0,5.0,1.3853923853923855,0,1546103.0,0.0,14.251248129454886,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
208507603,4013,Arizona,Maricopa County,City,Scottsdale,4,4,277528.0,562471.0,0,12.533680711212916,13.24009663404398,0.0,2.0,0.0,0.0,0,5.0,1.3853923853923855,1,569567.0,0.6931471805599453,13.252631702008324,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
452719085,4013,Arizona,Maricopa County,City,Scottsdale,4,4,404493.0,0.0,33400,12.910392182243354,0.0,10.416341118636357,2.0,0.0,0.0,0,5.0,1.3853923853923855,0,149108.0,0.0,11.91242615457836,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
860657724,4013,Arizona,Maricopa County,City,Scottsdale,4,4,34139.0,0.0,0,10.438224996348431,0.0,0.0,2.0,0.0,0.0,0,5.0,1.3853923853923855,0,291869.0,0.0,12.584060350448825,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
813650252,4013,Arizona,Maricopa County,City,Scottsdale,4,4,394269.0,0.0,0,12.88479123277132,0.0,0.0,2.0,0.0,0.0,0,5.0,1.3853923853923855,0,391157.0,0.0,12.876864292900942,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
453697690,4013,Arizona,Maricopa County,City,Scottsdale,4,4,1420644.0,0.0,6500,14.166621551800448,0.0,8.77971129020447,2.0,0.0,0.0,0,5.0,1.3853923853923855,12,1411052.0,2.5649493574615367,14.15984608345142,4253913,14.88,61606.0,31.98,14.73,45.68,1.0931504180791372,-0.5561637089459448,-0.5974281094131286,-1.2449664525440385
